movie_title,genres,production_budget,worldwide_gross,Revenue,domestic_gross,start_year,release_date,runtime_minutes,averagerating,numvotes
Edge of Tomorrow,"Action,Sci-Fi",178000000.0,370541256.0,192541256.0,100206256.0,2014,06-06-2014,113.0,7.9,546284
Captain Marvel,"Action,Adventure,Sci-Fi",175000000.0,1123061550.0,948061550.0,426525952.0,2019,08-03-2019,123.0,7.0,296225
The Jungle Book,Animation,175000000.0,962854547.0,787854547.0,364001123.0,2014,15-04-2016,64.0,7.0,59
The Jungle Book,"Adventure,Drama,Family",175000000.0,962854547.0,787854547.0,364001123.0,2016,15-04-2016,106.0,7.4,240821
The Jungle Book,Animation,27000000.0,44342956.0,17342956.0,44342956.0,2014,25-12-1994,64.0,7.0,59
The Jungle Book,"Adventure,Drama,Family",27000000.0,44342956.0,17342956.0,44342956.0,2016,25-12-1994,106.0,7.4,240821
Inside Out,"Crime,Drama",175000000.0,854235992.0,679235992.0,356461711.0,2011,19-06-2015,93.0,4.6,1566
Inside Out,Family,175000000.0,854235992.0,679235992.0,356461711.0,2011,19-06-2015,59.0,7.3,15
Inside Out,"Adventure,Animation,Comedy",175000000.0,854235992.0,679235992.0,356461711.0,2015,19-06-2015,95.0,8.2,536181
Inside Out,"Biography,Documentary,History",175000000.0,854235992.0,679235992.0,356461711.0,2013,19-06-2015,75.0,7.5,60
Spider-Man: Homecoming,"Action,Adventure,Sci-Fi",175000000.0,880166350.0,705166350.0,334201140.0,2017,07-07-2017,133.0,7.5,426302
Suicide Squad,"Action,Adventure,Fantasy",175000000.0,746059887.0,571059887.0,325100054.0,2016,05-08-2016,123.0,6.0,533039
Coco,"Adventure,Animation,Comedy",175000000.0,798008101.0,623008101.0,209726015.0,2017,22-11-2017,105.0,8.4,277194
Coco,Horror,175000000.0,798008101.0,623008101.0,209726015.0,2017,22-11-2017,98.0,7.4,35
Cars 3,"Adventure,Animation,Comedy",175000000.0,383541369.0,208541369.0,152901115.0,2017,16-06-2017,102.0,6.8,59408
King Arthur: Legend of the Sword,"Action,Adventure,Drama",175000000.0,139630336.0,-35369664.0,39175066.0,2017,12-05-2017,126.0,6.8,169054
47 Ronin,"Action,Adventure,Drama",175000000.0,151716815.0,-23283185.0,38362475.0,2013,25-12-2013,128.0,6.3,135754
Jurassic World: Fallen Kingdom,"Action,Adventure,Sci-Fi",170000000.0,1305772799.0,1135772799.0,417719760.0,2018,22-06-2018,128.0,6.2,219125
Guardians of the Galaxy,"Action,Adventure,Comedy",170000000.0,770867516.0,600867516.0,333172112.0,2014,01-08-2014,121.0,8.1,948394
Iron Man 2,"Action,Adventure,Sci-Fi",170000000.0,621156389.0,451156389.0,312433331.0,2010,07-05-2010,124.0,7.0,657690
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",170000000.0,714401889.0,544401889.0,259746958.0,2014,04-04-2014,136.0,7.8,666252
Dawn of the Planet of the Apes,"Action,Adventure,Drama",170000000.0,710644566.0,540644566.0,208545589.0,2014,11-07-2014,130.0,7.6,390199
Snow White and the Huntsman,"Action,Adventure,Drama",170000000.0,401021746.0,231021746.0,155136755.0,2012,01-06-2012,127.0,6.1,258938
Dumbo,"Adventure,Family,Fantasy",170000000.0,345004422.0,175004422.0,113883318.0,2019,29-03-2019,112.0,6.6,25072
Tomorrowland,"Action,Adventure,Family",170000000.0,206627518.0,36627518.0,93436322.0,2015,22-05-2015,130.0,6.4,161343
Tomorrowland,Documentary,170000000.0,206627518.0,36627518.0,93436322.0,2017,22-05-2015,70.0,6.3,7
Alita: Battle Angel,"Action,Adventure,Sci-Fi",170000000.0,402976036.0,232976036.0,85710210.0,2019,14-02-2019,122.0,7.5,88207
Godzilla: King of the Monsters,"Action,Adventure,Fantasy",170000000.0,299276941.0,129276941.0,85576941.0,2019,31-05-2019,132.0,6.7,36479
Alice Through the Looking Glass,"Adventure,Family,Fantasy",170000000.0,276928112.0,106928112.0,77042381.0,2016,27-05-2016,113.0,6.2,79951
Shrek Forever After,"Adventure,Animation,Comedy",165000000.0,756244673.0,591244673.0,238736787.0,2010,21-05-2010,93.0,6.3,167532
Doctor Strange,"Action,Adventure,Fantasy",165000000.0,676404566.0,511404566.0,232641920.0,2016,04-11-2016,115.0,7.5,514510
Big Hero 6,"Action,Adventure,Animation",165000000.0,652127828.0,487127828.0,222527828.0,2014,07-11-2014,102.0,7.8,371204
How to Train Your Dragon,"Action,Adventure,Animation",165000000.0,494870992.0,329870992.0,217581232.0,2010,26-03-2010,98.0,8.1,611299
Wreck-It Ralph,"Adventure,Animation,Comedy",165000000.0,496511521.0,331511521.0,189412677.0,2012,02-11-2012,101.0,7.7,344496
Interstellar,"Adventure,Drama,Sci-Fi",165000000.0,666379375.0,501379375.0,188017894.0,2014,05-11-2014,169.0,8.6,1299334
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",165000000.0,384169424.0,219169424.0,103144286.0,2016,24-06-2016,120.0,5.2,155344
Beauty and the Beast,"Drama,Fantasy,Romance",160000000.0,1259199706.0,1099199706.0,504014165.0,2014,17-03-2017,112.0,6.4,18100
Beauty and the Beast,"Family,Fantasy,Musical",160000000.0,1259199706.0,1099199706.0,504014165.0,2017,17-03-2017,129.0,7.2,238325
Beauty and the Beast,"Drama,Fantasy,Romance",20000000.0,608431132.0,588431132.0,376057266.0,2014,13-11-1991,112.0,6.4,18100
Beauty and the Beast,"Family,Fantasy,Musical",20000000.0,608431132.0,588431132.0,376057266.0,2017,13-11-1991,129.0,7.2,238325
Aquaman,"Action,Adventure,Fantasy",160000000.0,1146894640.0,986894640.0,335061807.0,2018,21-12-2018,143.0,7.1,263328
